class,n_gold,tp,precision,recall,f1
AdjP,61,61,1.0000,1.0000,1.0000
NP,73,73,1.0000,1.0000,1.0000
PP,11,11,1.0000,1.0000,1.0000
S,40,39,1.0000,0.9750,0.9873
VP,33,33,0.9706,1.0000,0.9851
OVERALL,218,217,,0.9954,
