n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.7714,0.7927,0.7511,0.4500,1.0000,0.0000,1.0000,30
50,0.7500,0.7830,0.7196,0.4700,1.0000,0.1000,1.0000,30
75,0.7105,0.7243,0.6972,0.3700,1.0000,0.1333,1.0000,30
100,0.6183,0.6522,0.5877,0.2900,1.0000,0.2000,1.0000,30
125,0.5569,0.5932,0.5247,0.2700,1.0000,0.1667,1.0000,30
150,0.4254,0.4577,0.3973,0.1600,1.0000,0.2667,1.0000,30
175,0.4933,0.5553,0.4438,0.2100,1.0000,0.3000,1.0000,30
200,0.4774,0.5408,0.4273,0.2400,1.0000,0.4333,1.0000,30
225,0.4719,0.5363,0.4213,0.1700,0.9667,0.6667,1.0000,30
250,0.4812,0.5584,0.4228,0.2300,1.0000,0.5667,1.0000,30
275,0.4568,0.5319,0.4003,0.1900,0.9000,0.6000,1.0000,30
300,0.5356,0.6061,0.4798,0.2100,1.0000,0.5667,1.0000,30
325,0.5655,0.6327,0.5112,0.2200,1.0000,0.3667,1.0000,30
350,0.5229,0.5621,0.4888,0.1900,1.0000,0.4667,1.0000,30
375,0.5757,0.6036,0.5502,0.1600,1.0000,0.5000,1.0000,30
400,0.4715,0.4919,0.4528,0.1500,1.0000,0.5333,1.0000,30
