n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7859,0.7859,0.7859,0.3100,0.5000,0.7500,1.0000,0.2500,1.0000,20,0.6000
20,0.8804,0.8804,0.8804,0.4800,0.4500,0.6500,1.0000,0.1000,1.0000,20,0.8000
30,0.9163,0.9163,0.9163,0.4900,0.7500,0.5500,1.0000,0.3000,1.0000,20,0.8667
40,0.9318,0.9318,0.9318,0.6300,0.7000,0.6500,1.0000,0.3500,1.0000,20,0.9000
50,0.9390,0.9390,0.9390,0.6900,0.7500,0.7000,1.0000,0.4500,1.0000,20,0.9200
60,0.9474,0.9474,0.9474,0.7300,0.7500,0.8000,1.0000,0.5500,1.0000,20,0.9333
70,0.9474,0.9474,0.9474,0.7200,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9429
80,0.9246,0.9246,0.9246,0.6500,0.7500,0.6500,1.0000,0.4000,1.0000,20,0.9500
90,0.9605,0.9605,0.9605,0.8100,0.9000,0.7500,1.0000,0.6500,1.0000,20,0.9556
100,0.9749,0.9749,0.9749,0.8800,0.8500,0.6500,1.0000,0.5000,1.0000,20,0.9600
110,0.9689,0.9689,0.9689,0.8200,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9636
120,0.9725,0.9725,0.9725,0.8400,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9667
130,0.9809,0.9809,0.9809,0.8900,0.8500,0.8000,1.0000,0.6500,1.0000,20,0.9692
140,0.9785,0.9785,0.9785,0.8900,0.8500,0.8000,1.0000,0.6500,1.0000,20,0.9714
150,0.9785,0.9785,0.9785,0.9000,0.8500,0.9000,1.0000,0.7500,1.0000,20,0.9733
160,0.9737,0.9737,0.9737,0.8800,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9750
170,0.9725,0.9725,0.9725,0.8600,0.9000,0.8000,1.0000,0.7000,1.0000,20,0.9765
180,0.9785,0.9785,0.9785,0.9000,0.7000,0.5000,1.0000,0.2000,1.0000,20,0.9778
190,0.9821,0.9821,0.9821,0.9100,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9789
200,0.9821,0.9821,0.9821,0.9200,0.8000,0.7000,1.0000,0.5000,1.0000,20,0.9800
210,0.9797,0.9797,0.9797,0.8900,0.9000,0.8500,1.0000,0.7500,1.0000,20,0.9810
220,0.9797,0.9797,0.9797,0.8900,0.8500,0.8000,1.0000,0.6500,1.0000,20,0.9818
230,0.9797,0.9797,0.9797,0.8800,1.0000,0.6500,1.0000,0.6500,1.0000,20,0.9826
240,0.9785,0.9785,0.9785,0.8900,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9833
250,0.9797,0.9797,0.9797,0.9000,0.6500,0.6000,1.0000,0.2500,1.0000,20,0.9840
260,0.9868,0.9868,0.9868,0.9500,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9846
270,0.9617,0.9617,0.9617,0.8800,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9852
280,0.8636,0.8636,0.8636,0.5600,0.9500,0.6500,1.0000,0.6000,1.0000,20,0.9857
290,0.8852,0.8852,0.8852,0.5500,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9862
300,0.9414,0.9414,0.9414,0.6800,0.9480,0.6540,1.0000,0.6020,1.0000,500,0.9867
