n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.2333,1.0000,30
20,0.8337,0.9081,0.7706,0.3750,1.0000,0.2000,1.0000,30
30,0.6998,0.7622,0.6468,0.2750,1.0000,0.0667,1.0000,30
40,0.8532,0.8532,0.8532,0.6250,1.0000,0.0333,1.0000,30
50,0.8761,0.8761,0.8761,0.7000,1.0000,0.1667,1.0000,30
60,0.8303,0.8303,0.8303,0.6500,1.0000,0.1000,1.0000,30
70,0.8571,0.8611,0.8532,0.5750,1.0000,0.1000,1.0000,30
80,0.8761,0.8761,0.8761,0.7250,1.0000,0.2333,1.0000,30
90,0.9032,0.9074,0.8991,0.7750,1.0000,0.1000,1.0000,30
100,0.8796,0.8879,0.8716,0.6500,1.0000,0.1667,1.0000,30
110,0.8565,0.8645,0.8486,0.5250,1.0000,0.3000,1.0000,30
120,0.8930,0.9057,0.8807,0.7000,1.0000,0.3333,1.0000,30
130,0.8692,0.8857,0.8532,0.6750,1.0000,0.1333,1.0000,30
140,0.8605,0.8726,0.8486,0.5250,1.0000,0.5000,1.0000,30
150,0.8993,0.9187,0.8807,0.6750,1.0000,0.4667,1.0000,30
160,0.9112,0.9286,0.8945,0.7500,1.0000,0.2000,1.0000,30
