n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.6864,0.7422,0.6384,0.3400,1.0000,0.2667,1.0000,30
50,0.6751,0.7162,0.6384,0.3700,1.0000,0.1333,1.0000,30
75,0.6739,0.7045,0.6458,0.3900,1.0000,0.2667,1.0000,30
100,0.5762,0.6213,0.5372,0.2400,1.0000,0.2333,1.0000,30
125,0.5740,0.6283,0.5283,0.2900,1.0000,0.1333,1.0000,30
150,0.6293,0.6811,0.5848,0.3300,1.0000,0.3667,1.0000,30
175,0.5982,0.6487,0.5551,0.3200,1.0000,0.1667,1.0000,30
200,0.5680,0.6223,0.5223,0.3000,1.0000,0.3000,1.0000,30
225,0.4564,0.5231,0.4048,0.2800,1.0000,0.3333,1.0000,30
250,0.4252,0.4719,0.3869,0.2400,1.0000,0.2000,1.0000,30
275,0.4466,0.4982,0.4048,0.1800,1.0000,0.1333,1.0000,30
300,0.4494,0.5075,0.4033,0.2300,1.0000,0.3667,1.0000,30
325,0.4355,0.4862,0.3943,0.2100,1.0000,0.2667,1.0000,30
350,0.5261,0.6070,0.4643,0.2500,1.0000,0.2667,1.0000,30
375,0.5071,0.5819,0.4494,0.2900,1.0000,0.4333,1.0000,30
400,0.4996,0.5822,0.4375,0.2900,1.0000,0.2333,1.0000,30
