n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.5800,0.4400,1.0000,0.0200,0.0000,50,0.9000
20,0.4607,0.5714,0.3860,0.0000,0.9600,0.0800,1.0000,0.0400,0.0000,50,0.9500
30,0.5641,0.6020,0.5307,0.2250,0.9800,0.2600,1.0000,0.2400,0.3200,50,0.9667
40,0.7763,0.7763,0.7763,0.5000,0.9600,0.2000,1.0000,0.1600,0.9800,50,0.9750
50,0.8026,0.8026,0.8026,0.5250,0.9600,0.2400,1.0000,0.2000,1.0000,50,0.9800
60,0.7544,0.7544,0.7544,0.3500,1.0000,0.2800,1.0000,0.2800,1.0000,50,0.9833
70,0.6667,0.6667,0.6667,0.3000,0.9400,0.2800,1.0000,0.2200,1.0000,50,0.9857
80,0.7325,0.7325,0.7325,0.4500,0.8800,0.2600,1.0000,0.1400,1.0000,50,0.9875
90,0.8421,0.8421,0.8421,0.6750,0.9400,0.3800,1.0000,0.3200,1.0000,50,0.9889
100,0.8026,0.8026,0.8026,0.6000,0.9400,0.2800,1.0000,0.2200,1.0000,50,0.9900
110,0.8465,0.8465,0.8465,0.5750,0.8600,0.3600,1.0000,0.2200,1.0000,50,0.9909
120,0.8421,0.8421,0.8421,0.6250,0.8400,0.4600,1.0000,0.3000,1.0000,50,0.9917
130,0.8904,0.8904,0.8904,0.7500,1.0000,0.3400,1.0000,0.3400,1.0000,50,0.9923
140,0.8553,0.8553,0.8553,0.6500,0.9200,0.4000,1.0000,0.3200,0.9800,50,0.9929
150,0.8772,0.8772,0.8772,0.7500,0.9000,0.4000,1.0000,0.3000,1.0000,50,0.9933
160,0.7851,0.7851,0.7851,0.5000,0.9400,0.3800,1.0000,0.3200,1.0000,50,0.9938
