n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8701,0.8756,0.8647,0.6000,1.0000,0.0000,1.0000,30
50,0.7790,0.7875,0.7707,0.5400,1.0000,0.2000,1.0000,30
75,0.8213,0.8401,0.8033,0.5900,1.0000,0.5333,1.0000,30
100,0.8819,0.8986,0.8659,0.7200,1.0000,0.3000,1.0000,30
125,0.8643,0.8835,0.8459,0.7100,1.0000,0.4000,1.0000,30
150,0.8261,0.8433,0.8095,0.5800,1.0000,0.6000,1.0000,30
175,0.8442,0.8718,0.8183,0.6600,1.0000,0.7000,1.0000,30
200,0.7654,0.8022,0.7318,0.5200,1.0000,0.5667,1.0000,30
225,0.8197,0.8495,0.7920,0.6900,1.0000,0.5333,1.0000,30
250,0.8194,0.8607,0.7820,0.6300,0.9667,0.5333,1.0000,30
275,0.7479,0.7833,0.7155,0.4900,1.0000,0.6333,1.0000,30
300,0.5612,0.5647,0.5576,0.1100,1.0000,0.4333,1.0000,30
325,0.7207,0.7463,0.6967,0.4200,1.0000,0.3667,1.0000,30
350,0.6993,0.7416,0.6617,0.3800,1.0000,0.4333,1.0000,30
375,0.7054,0.7367,0.6767,0.4200,1.0000,0.4333,1.0000,30
400,0.5975,0.6322,0.5664,0.2300,1.0000,0.6000,1.0000,30
