n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.4466,0.6324,0.3451,0.0700,1.0000,0.0333,1.0000,30
50,0.3796,0.5100,0.3024,0.0600,1.0000,0.0333,1.0000,30
75,0.2425,0.3541,0.1844,0.0400,1.0000,0.0667,1.0000,30
100,0.4292,0.4896,0.3820,0.1500,1.0000,0.0667,1.0000,30
125,0.3686,0.4242,0.3260,0.1300,1.0000,0.1667,1.0000,30
150,0.4831,0.5652,0.4218,0.1400,1.0000,0.1000,1.0000,30
175,0.4728,0.6321,0.3776,0.0700,1.0000,0.1333,1.0000,30
200,0.4879,0.5626,0.4307,0.1400,1.0000,0.2000,1.0000,30
225,0.4595,0.5299,0.4056,0.1300,1.0000,0.4333,1.0000,30
250,0.4297,0.5091,0.3717,0.1100,1.0000,0.5000,1.0000,30
275,0.4996,0.5812,0.4381,0.2100,1.0000,0.3667,1.0000,30
300,0.5030,0.5932,0.4366,0.1600,1.0000,0.5000,1.0000,30
325,0.5156,0.6012,0.4513,0.1800,1.0000,0.3667,1.0000,30
350,0.4887,0.5673,0.4292,0.1600,0.9667,0.5333,1.0000,30
375,0.5208,0.6128,0.4528,0.2500,1.0000,0.4667,1.0000,30
400,0.5169,0.6047,0.4513,0.2700,0.9667,0.5333,1.0000,30
