n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.9529,0.9541,0.9517,0.7500,1.0000,0.2333,1.0000,30
50,0.7863,0.7893,0.7834,0.3900,1.0000,0.4333,1.0000,30
75,0.9020,0.9042,0.8998,0.6500,1.0000,0.2667,1.0000,30
100,0.7940,0.7985,0.7896,0.4300,1.0000,0.2000,1.0000,30
125,0.7691,0.7735,0.7649,0.3200,0.9667,0.3667,1.0000,30
150,0.7308,0.7377,0.7240,0.3300,1.0000,0.3333,1.0000,30
175,0.7345,0.7452,0.7240,0.3200,1.0000,0.3667,1.0000,30
200,0.6965,0.7104,0.6832,0.2200,0.9667,0.5000,1.0000,30
225,0.8434,0.8503,0.8366,0.4400,1.0000,0.5000,1.0000,30
250,0.7309,0.7392,0.7228,0.2300,1.0000,0.7333,1.0000,30
275,0.7196,0.7330,0.7067,0.3300,0.9667,0.5333,1.0000,30
300,0.7508,0.7658,0.7364,0.3400,0.9667,0.7000,1.0000,30
325,0.7549,0.7689,0.7413,0.3000,1.0000,0.5667,1.0000,30
350,0.8058,0.8213,0.7908,0.4100,0.8333,0.8333,1.0000,30
375,0.8401,0.8551,0.8255,0.5000,0.8667,0.6667,1.0000,30
400,0.8525,0.8689,0.8366,0.5300,0.9000,0.7667,1.0000,30
