n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,20,0.5000
20,0.7551,0.7551,0.7551,0.4100,0.8500,0.1500,1.0000,0.0000,1.0000,20,0.7500
30,0.8459,0.8459,0.8459,0.6400,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.8333
40,0.8647,0.8647,0.8647,0.7000,0.8500,0.4000,1.0000,0.2500,1.0000,20,0.8750
50,0.8579,0.8579,0.8579,0.6500,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9000
60,0.7962,0.7962,0.7962,0.5700,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9167
70,0.8750,0.8750,0.8750,0.6900,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9286
80,0.8048,0.8048,0.8048,0.6200,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9375
90,0.8202,0.8202,0.8202,0.6400,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9444
100,0.8510,0.8510,0.8510,0.7100,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9500
110,0.8818,0.8818,0.8818,0.7600,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9545
120,0.9178,0.9178,0.9178,0.7800,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9583
130,0.8733,0.8733,0.8733,0.7100,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9615
140,0.9161,0.9161,0.9161,0.7800,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9643
150,0.9298,0.9298,0.9298,0.8200,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9667
160,0.9572,0.9572,0.9572,0.8700,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9688
170,0.9247,0.9247,0.9247,0.7800,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9706
180,0.9401,0.9401,0.9401,0.8300,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9722
190,0.9521,0.9521,0.9521,0.8900,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9737
200,0.9606,0.9606,0.9606,0.9200,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9750
210,0.9538,0.9538,0.9538,0.8900,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9762
220,0.9538,0.9538,0.9538,0.8900,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9773
230,0.9555,0.9555,0.9555,0.9000,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9783
240,0.9538,0.9538,0.9538,0.8900,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9792
250,0.9623,0.9623,0.9623,0.9100,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9800
260,0.9658,0.9658,0.9658,0.9100,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9808
270,0.9658,0.9658,0.9658,0.9200,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9815
280,0.9658,0.9658,0.9658,0.9200,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9821
290,0.9658,0.9658,0.9658,0.9200,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9828
300,0.9658,0.9658,0.9658,0.9200,0.9920,0.3140,1.0000,0.3060,1.0000,500,0.9833
