n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6388,0.6388,0.6388,0.1500,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.5000
20,0.7596,0.7596,0.7596,0.2800,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.7500
30,0.6985,0.6985,0.6985,0.2500,1.0000,0.0500,1.0000,0.0500,1.0000,20,0.8333
40,0.7185,0.7185,0.7185,0.3100,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.8750
50,0.7118,0.7118,0.7118,0.3300,0.8500,0.2000,1.0000,0.0500,1.0000,20,0.9000
60,0.7596,0.7596,0.7596,0.3800,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9167
70,0.7251,0.7251,0.7251,0.2700,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9286
80,0.7676,0.7676,0.7676,0.4400,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9375
90,0.7968,0.7968,0.7968,0.5000,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9444
100,0.6813,0.6813,0.6813,0.2500,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9500
110,0.7570,0.7570,0.7570,0.3500,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9545
120,0.7530,0.7530,0.7530,0.3500,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9583
130,0.7862,0.7862,0.7862,0.4200,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9615
140,0.7729,0.7729,0.7729,0.3900,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9643
150,0.7968,0.7968,0.7968,0.4300,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9667
160,0.7981,0.7981,0.7981,0.4300,0.8000,0.4000,1.0000,0.2000,1.0000,20,0.9688
170,0.7955,0.7955,0.7955,0.4400,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9706
180,0.7888,0.7888,0.7888,0.3900,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9722
190,0.7756,0.7756,0.7756,0.3600,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9737
200,0.7689,0.7689,0.7689,0.3500,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9750
210,0.8021,0.8021,0.8021,0.4000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9762
220,0.8167,0.8167,0.8167,0.4400,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9773
230,0.8287,0.8287,0.8287,0.4900,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9783
240,0.8287,0.8287,0.8287,0.4600,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9792
250,0.8274,0.8274,0.8274,0.4700,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9800
260,0.8340,0.8340,0.8340,0.4700,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9808
270,0.8420,0.8420,0.8420,0.5200,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9815
280,0.8327,0.8327,0.8327,0.4900,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9821
290,0.8260,0.8260,0.8260,0.4800,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9828
300,0.8247,0.8247,0.8247,0.5000,0.9780,0.5680,1.0000,0.5460,1.0000,500,0.9833
