n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8304,0.8396,0.8214,0.5400,1.0000,0.0667,1.0000,30
50,0.7916,0.7970,0.7862,0.4300,1.0000,0.1000,1.0000,30
75,0.7850,0.8051,0.7659,0.5000,1.0000,0.2333,1.0000,30
100,0.7269,0.7533,0.7023,0.4100,1.0000,0.1667,1.0000,30
125,0.6910,0.7046,0.6779,0.2300,1.0000,0.2000,1.0000,30
150,0.7172,0.7449,0.6915,0.3900,1.0000,0.6000,1.0000,30
175,0.6752,0.7077,0.6455,0.3000,0.9667,0.6000,1.0000,30
200,0.6662,0.6883,0.6455,0.3300,0.9333,0.7667,1.0000,30
225,0.6588,0.6786,0.6401,0.3600,0.8000,0.8333,1.0000,30
250,0.4827,0.5044,0.4628,0.1600,1.0000,0.6333,1.0000,30
275,0.7316,0.7766,0.6915,0.4200,0.9667,0.7667,1.0000,30
300,0.6157,0.6390,0.5940,0.3200,0.8000,0.6333,1.0000,30
325,0.4488,0.4690,0.4303,0.1400,0.8000,0.8667,1.0000,30
350,0.6054,0.6341,0.5792,0.2900,0.8333,0.6000,1.0000,30
375,0.5817,0.6098,0.5562,0.3000,0.9000,0.5667,1.0000,30
400,0.6137,0.6393,0.5900,0.3400,0.8667,0.8000,1.0000,30
