n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,30
20,0.7973,0.8634,0.7406,0.2500,1.0000,0.0000,1.0000,30
30,0.8288,0.8976,0.7699,0.2500,1.0000,0.0667,1.0000,30
40,0.8514,0.9220,0.7908,0.2750,1.0000,0.0000,1.0000,30
50,0.9205,0.9205,0.9205,0.7750,1.0000,0.0333,1.0000,30
60,0.5230,0.5230,0.5230,0.1750,1.0000,0.0667,1.0000,30
70,0.9498,0.9498,0.9498,0.7500,1.0000,0.0667,1.0000,30
80,0.9540,0.9540,0.9540,0.7750,1.0000,0.0667,1.0000,30
90,0.9874,0.9874,0.9874,0.9250,1.0000,0.1333,1.0000,30
100,0.9874,0.9874,0.9874,0.9250,1.0000,0.2000,1.0000,30
110,0.9034,0.9072,0.8996,0.7250,1.0000,0.2333,1.0000,30
120,0.9496,0.9536,0.9456,0.8000,1.0000,0.1667,1.0000,30
130,0.9283,0.9362,0.9205,0.7250,1.0000,0.1000,1.0000,30
140,0.9538,0.9578,0.9498,0.7750,1.0000,0.1000,1.0000,30
150,0.9707,0.9707,0.9707,0.8750,1.0000,0.2333,1.0000,30
160,0.9623,0.9623,0.9623,0.8250,1.0000,0.2667,1.0000,30
