class,n_gold,tp,precision,recall,f1
AdjP,144,144,1.0000,1.0000,1.0000
NP,168,168,1.0000,1.0000,1.0000
PP,34,30,1.0000,0.8824,0.9375
S,80,80,1.0000,1.0000,1.0000
VP,88,88,0.9565,1.0000,0.9778
OVERALL,514,510,,0.9922,
