n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8286,0.8321,0.8251,0.4800,1.0000,0.0667,1.0000,30
50,0.8416,0.8557,0.8279,0.5300,1.0000,0.1333,1.0000,30
75,0.7946,0.8038,0.7856,0.4400,1.0000,0.0667,1.0000,30
100,0.8410,0.8544,0.8279,0.5200,1.0000,0.1667,1.0000,30
125,0.8178,0.8321,0.8039,0.5600,1.0000,0.3000,1.0000,30
150,0.7911,0.8026,0.7800,0.4300,1.0000,0.4333,1.0000,30
175,0.7825,0.7968,0.7687,0.4000,1.0000,0.5333,1.0000,30
200,0.7220,0.7396,0.7052,0.2800,1.0000,0.5000,1.0000,30
225,0.7246,0.7452,0.7052,0.2800,1.0000,0.7000,1.0000,30
250,0.5813,0.5932,0.5698,0.1800,1.0000,0.6000,1.0000,30
275,0.6975,0.7162,0.6798,0.2600,1.0000,0.6333,1.0000,30
300,0.4888,0.5411,0.4457,0.1600,1.0000,0.6333,1.0000,30
325,0.5218,0.5702,0.4810,0.2200,1.0000,0.7333,1.0000,30
350,0.5925,0.6498,0.5444,0.2600,1.0000,0.7333,1.0000,30
375,0.6251,0.6688,0.5867,0.2200,1.0000,0.6333,1.0000,30
400,0.6745,0.7057,0.6460,0.3500,1.0000,0.7000,1.0000,30
