n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,0.6000,0.4000,1.0000,0.0000,1.0000,20,0.4000
20,0.7974,0.7974,0.7974,0.4800,0.7000,0.4000,1.0000,0.1000,1.0000,20,0.7000
30,0.7879,0.7879,0.7879,0.5000,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.8000
40,0.8357,0.8357,0.8357,0.6500,0.9000,0.1000,1.0000,0.0000,1.0000,20,0.8500
50,0.7847,0.7847,0.7847,0.4000,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.8800
60,0.8612,0.8612,0.8612,0.7100,0.7500,0.4500,1.0000,0.2000,1.0000,20,0.9000
70,0.8915,0.8915,0.8915,0.7900,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9143
80,0.8708,0.8708,0.8708,0.7200,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9250
90,0.9091,0.9091,0.9091,0.7200,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9333
100,0.9234,0.9234,0.9234,0.7600,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9400
110,0.9490,0.9490,0.9490,0.8100,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9455
120,0.9490,0.9490,0.9490,0.8200,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9500
130,0.9569,0.9569,0.9569,0.8300,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9538
140,0.9522,0.9522,0.9522,0.8200,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9571
150,0.9601,0.9601,0.9601,0.8400,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9600
160,0.9633,0.9633,0.9633,0.8600,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9625
170,0.9601,0.9601,0.9601,0.8700,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9647
180,0.9697,0.9697,0.9697,0.9000,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9667
190,0.9872,0.9872,0.9872,0.9600,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9684
200,0.9713,0.9713,0.9713,0.9100,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9700
210,0.9856,0.9856,0.9856,0.9400,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9714
220,0.9841,0.9841,0.9841,0.9500,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9727
230,0.9872,0.9872,0.9872,0.9500,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9739
240,0.9920,0.9920,0.9920,0.9800,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9750
250,0.9904,0.9904,0.9904,0.9700,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9760
260,0.9904,0.9904,0.9904,0.9700,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9769
270,0.9968,0.9968,0.9968,0.9900,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9778
280,0.9952,0.9952,0.9952,0.9800,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9786
290,0.9952,0.9952,0.9952,0.9800,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9793
300,0.9952,0.9952,0.9952,0.9800,0.9980,0.4580,1.0000,0.4560,1.0000,500,0.9800
