n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,50,0.7000
20,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,50,0.8500
30,0.4374,0.5074,0.3843,0.1250,0.9200,0.0800,1.0000,0.0000,0.2600,50,0.9000
40,0.6178,0.6582,0.5821,0.2750,0.9400,0.2000,1.0000,0.1400,0.5600,50,0.9250
50,0.6809,0.7114,0.6530,0.2250,0.9400,0.2600,1.0000,0.2000,0.7000,50,0.9400
60,0.7143,0.7400,0.6903,0.3500,0.9600,0.3000,1.0000,0.2600,0.7800,50,0.9500
70,0.7683,0.7960,0.7425,0.3750,0.9200,0.1400,1.0000,0.0600,0.7200,50,0.9571
80,0.8411,0.8750,0.8097,0.4750,0.9800,0.1600,1.0000,0.1400,0.8400,50,0.9625
90,0.8178,0.8508,0.7873,0.4250,0.9600,0.1600,1.0000,0.1200,0.8200,50,0.9667
100,0.8210,0.8577,0.7873,0.4500,0.9800,0.2200,1.0000,0.2000,0.8200,50,0.9700
110,0.7791,0.8105,0.7500,0.3000,0.9400,0.2200,1.0000,0.1600,0.7400,50,0.9727
120,0.8062,0.8387,0.7761,0.4500,1.0000,0.1000,1.0000,0.1000,0.7400,50,0.9750
130,0.7868,0.8185,0.7575,0.4250,0.9600,0.2800,1.0000,0.2400,0.7600,50,0.9769
140,0.8560,0.8943,0.8209,0.5500,0.9600,0.2200,1.0000,0.1800,0.7200,50,0.9786
150,0.8140,0.8468,0.7836,0.5500,0.9800,0.2600,1.0000,0.2400,0.8200,50,0.9800
160,0.8631,0.8798,0.8470,0.5500,0.9800,0.2600,1.0000,0.2400,0.7400,50,0.9812
