n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8468,0.8491,0.8445,0.4800,1.0000,0.0667,1.0000,30
50,0.6023,0.6405,0.5684,0.1200,1.0000,0.1333,1.0000,30
75,0.6463,0.6873,0.6099,0.2300,1.0000,0.1333,1.0000,30
100,0.6499,0.6991,0.6072,0.1800,1.0000,0.1667,1.0000,30
125,0.5908,0.6386,0.5496,0.2100,1.0000,0.4000,1.0000,30
150,0.6352,0.6476,0.6233,0.2100,1.0000,0.4000,1.0000,30
175,0.5596,0.5788,0.5416,0.2500,1.0000,0.3667,1.0000,30
200,0.5184,0.5382,0.5000,0.2100,1.0000,0.5667,1.0000,30
225,0.5179,0.5310,0.5054,0.1700,1.0000,0.5333,1.0000,30
250,0.4669,0.4815,0.4531,0.0800,1.0000,0.5333,1.0000,30
275,0.4601,0.4810,0.4410,0.1000,1.0000,0.6333,1.0000,30
300,0.4231,0.4399,0.4075,0.1600,1.0000,0.2667,1.0000,30
325,0.3916,0.4078,0.3767,0.1000,1.0000,0.6000,1.0000,30
350,0.3499,0.3660,0.3351,0.0900,1.0000,0.4333,1.0000,30
375,0.4082,0.4313,0.3874,0.1200,1.0000,0.5667,1.0000,30
400,0.4083,0.4366,0.3834,0.1400,1.0000,0.5000,1.0000,30
