seed,F1,EM,step_pick
13,0.9500,0.8500,1.0000
17,0.9930,0.9750,0.9930
23,1.0000,1.0000,1.0000
42,1.0000,1.0000,1.0000
100,0.9932,0.9750,0.9932
MEAN,0.9872,0.9600,0.9972
STD,0.0189,0.0561,0.0034
