class,n_gold,tp,precision,recall,f1
AdjP,136,136,1.0000,1.0000,1.0000
NP,167,167,0.9766,1.0000,0.9882
PP,44,44,0.9565,1.0000,0.9778
S,80,79,0.9634,0.9875,0.9753
VP,100,91,0.9891,0.9100,0.9479
OVERALL,527,517,,0.9810,
