class,n_gold,tp,precision,recall,f1
AdjP,66,66,1.0000,1.0000,1.0000
NP,79,79,1.0000,1.0000,1.0000
PP,9,9,1.0000,1.0000,1.0000
S,40,37,0.9737,0.9250,0.9487
VP,39,38,0.9268,0.9744,0.9500
OVERALL,233,229,,0.9828,
