n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7352,0.7352,0.7352,0.2800,0.9500,0.0500,1.0000,0.0000,1.0000,20,0.6000
20,0.7944,0.7944,0.7944,0.3700,0.6500,0.4500,1.0000,0.1000,1.0000,20,0.8000
30,0.8421,0.8421,0.8421,0.5200,0.8000,0.3500,1.0000,0.1500,1.0000,20,0.8667
40,0.8586,0.8586,0.8586,0.6300,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9000
50,0.8322,0.8322,0.8322,0.6300,0.8500,0.1500,1.0000,0.0000,1.0000,20,0.9200
60,0.8388,0.8388,0.8388,0.5700,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9333
70,0.8701,0.8701,0.8701,0.6200,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9429
80,0.8586,0.8586,0.8586,0.6000,0.9000,0.1500,1.0000,0.0500,1.0000,20,0.9500
90,0.8602,0.8602,0.8602,0.6400,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.9556
100,0.8832,0.8832,0.8832,0.6600,0.8000,0.3000,1.0000,0.1000,1.0000,20,0.9600
110,0.8503,0.8503,0.8503,0.6100,0.8500,0.1500,1.0000,0.0000,1.0000,20,0.9636
120,0.8734,0.8734,0.8734,0.6700,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9667
130,0.8816,0.8816,0.8816,0.6700,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9692
140,0.9062,0.9062,0.9062,0.7300,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9714
150,0.8980,0.8980,0.8980,0.7400,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9733
160,0.8898,0.8898,0.8898,0.7500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9750
170,0.9194,0.9194,0.9194,0.7800,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9765
180,0.9342,0.9342,0.9342,0.7800,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9778
190,0.9359,0.9359,0.9359,0.8000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9789
200,0.9359,0.9359,0.9359,0.7900,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9800
210,0.9375,0.9375,0.9375,0.8100,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9810
220,0.9375,0.9375,0.9375,0.8100,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.9818
230,0.9276,0.9276,0.9276,0.7800,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9826
240,0.9260,0.9260,0.9260,0.7700,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9833
250,0.9474,0.9474,0.9474,0.8400,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9840
260,0.9490,0.9490,0.9490,0.8500,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9846
270,0.9556,0.9556,0.9556,0.8800,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9852
280,0.9539,0.9539,0.9539,0.8600,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9857
290,0.9490,0.9490,0.9490,0.8600,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9862
300,0.9457,0.9457,0.9457,0.8500,0.9740,0.3080,1.0000,0.2820,1.0000,500,0.9867
