class,n_gold,tp,precision,recall,f1
NP,72,72,1.0000,1.0000,1.0000
S,40,40,0.9756,1.0000,0.9877
VP,32,31,1.0000,0.9688,0.9841
OVERALL,144,143,,0.9931,
