n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7603,0.7603,0.7603,0.2400,0.7000,0.4500,1.0000,0.1500,1.0000,20,0.6000
20,0.8160,0.8160,0.8160,0.4500,0.9500,0.8500,1.0000,0.8000,1.0000,20,0.8000
30,0.8547,0.8547,0.8547,0.5400,0.7000,0.6500,1.0000,0.3500,1.0000,20,0.8667
40,0.7966,0.7966,0.7966,0.2500,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9000
50,0.8535,0.8535,0.8535,0.4800,0.9000,0.4000,1.0000,0.3000,1.0000,20,0.9200
60,0.7893,0.7893,0.7893,0.4000,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9333
70,0.8862,0.8862,0.8862,0.6400,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9429
80,0.8995,0.8995,0.8995,0.6900,0.8500,0.7500,1.0000,0.6000,1.0000,20,0.9500
90,0.8789,0.8789,0.8789,0.6300,0.8500,0.3500,1.0000,0.2000,1.0000,20,0.9556
100,0.9080,0.9080,0.9080,0.6700,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9600
110,0.8692,0.8692,0.8692,0.6000,0.8000,0.7500,1.0000,0.5500,1.0000,20,0.9636
120,0.8644,0.8644,0.8644,0.5700,0.6500,0.8000,1.0000,0.4500,1.0000,20,0.9667
130,0.8814,0.8814,0.8814,0.6100,0.8000,0.8000,1.0000,0.6000,1.0000,20,0.9692
140,0.8462,0.8462,0.8462,0.4900,0.9500,0.4500,1.0000,0.4000,1.0000,20,0.9714
150,0.9540,0.9540,0.9540,0.8600,0.8000,0.8000,1.0000,0.6000,1.0000,20,0.9733
160,0.9516,0.9516,0.9516,0.8700,0.8500,0.7000,1.0000,0.5500,1.0000,20,0.9750
170,0.9576,0.9576,0.9576,0.8800,0.9500,0.7000,1.0000,0.6500,1.0000,20,0.9765
180,0.9637,0.9637,0.9637,0.8900,0.8500,0.7000,1.0000,0.5500,1.0000,20,0.9778
190,0.9673,0.9673,0.9673,0.8800,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9789
200,0.9528,0.9528,0.9528,0.8100,0.9500,0.7000,1.0000,0.6500,1.0000,20,0.9800
210,0.9552,0.9552,0.9552,0.8600,1.0000,0.7000,1.0000,0.7000,1.0000,20,0.9810
220,0.9661,0.9661,0.9661,0.8800,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9818
230,0.9564,0.9564,0.9564,0.8700,1.0000,0.5500,1.0000,0.5500,1.0000,20,0.9826
240,0.9685,0.9685,0.9685,0.8900,0.9000,0.7500,1.0000,0.6500,1.0000,20,0.9833
250,0.9407,0.9407,0.9407,0.8100,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9840
260,0.9492,0.9492,0.9492,0.8100,1.0000,0.6000,1.0000,0.6000,1.0000,20,0.9846
270,0.9479,0.9479,0.9479,0.8300,1.0000,0.7000,1.0000,0.7000,1.0000,20,0.9852
280,0.9516,0.9516,0.9516,0.8400,1.0000,0.7500,1.0000,0.7500,1.0000,20,0.9857
290,0.9588,0.9588,0.9588,0.8500,0.9000,0.9000,1.0000,0.8000,1.0000,20,0.9862
300,0.9564,0.9564,0.9564,0.8300,0.9600,0.6600,1.0000,0.6200,1.0000,500,0.9867
