n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6987,0.6987,0.6987,0.1900,0.9000,0.1500,1.0000,0.0500,1.0000,20,0.6000
20,0.8487,0.8487,0.8487,0.4300,0.7500,0.3000,1.0000,0.0500,1.0000,20,0.8000
30,0.8968,0.8968,0.8968,0.5200,0.6500,0.5000,1.0000,0.1500,1.0000,20,0.8667
40,0.9280,0.9280,0.9280,0.6600,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9000
50,0.9028,0.9028,0.9028,0.5800,0.5500,0.7000,1.0000,0.2500,1.0000,20,0.9200
60,0.9088,0.9088,0.9088,0.6600,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9333
70,0.9520,0.9520,0.9520,0.7800,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.9429
80,0.9076,0.9076,0.9076,0.6500,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9500
90,0.9484,0.9484,0.9484,0.8200,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9556
100,0.9640,0.9640,0.9640,0.8800,0.6500,0.8000,1.0000,0.4500,1.0000,20,0.9600
110,0.9448,0.9448,0.9448,0.7500,0.4500,0.9500,1.0000,0.4000,1.0000,20,0.9636
120,0.9592,0.9592,0.9592,0.8200,0.6500,0.8000,1.0000,0.4500,1.0000,20,0.9667
130,0.9460,0.9460,0.9460,0.7700,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9692
140,0.9496,0.9496,0.9496,0.8000,0.8000,0.8500,1.0000,0.6500,1.0000,20,0.9714
150,0.9196,0.9196,0.9196,0.7000,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9733
160,0.8956,0.8956,0.8956,0.6500,0.7000,0.5500,1.0000,0.2500,1.0000,20,0.9750
170,0.8980,0.8980,0.8980,0.7000,0.6500,0.7500,1.0000,0.4000,1.0000,20,0.9765
180,0.9304,0.9304,0.9304,0.7300,0.9000,0.6500,1.0000,0.5500,1.0000,20,0.9778
190,0.9616,0.9616,0.9616,0.7800,0.8000,0.7000,1.0000,0.5000,1.0000,20,0.9789
200,0.9316,0.9316,0.9316,0.6700,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9800
210,0.9508,0.9508,0.9508,0.7700,0.8500,0.7000,1.0000,0.5500,1.0000,20,0.9810
220,0.9316,0.9316,0.9316,0.7400,0.8500,0.5000,1.0000,0.3500,1.0000,20,0.9818
230,0.9064,0.9064,0.9064,0.6500,1.0000,0.8500,1.0000,0.8500,1.0000,20,0.9826
240,0.9292,0.9292,0.9292,0.7000,0.7500,0.7000,1.0000,0.4500,1.0000,20,0.9833
250,0.9400,0.9400,0.9400,0.7400,0.7500,0.6000,1.0000,0.3500,1.0000,20,0.9840
260,0.9520,0.9520,0.9520,0.7700,0.8500,0.8500,1.0000,0.7000,1.0000,20,0.9846
270,0.9532,0.9532,0.9532,0.8100,0.8000,0.7000,1.0000,0.5000,1.0000,20,0.9852
280,0.9520,0.9520,0.9520,0.8300,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9857
290,0.9400,0.9400,0.9400,0.7900,0.8500,0.6000,1.0000,0.4500,1.0000,20,0.9862
300,0.9388,0.9388,0.9388,0.7900,0.8300,0.5980,1.0000,0.4280,1.0000,500,0.9867
