class,n_gold,tp,precision,recall,f1
AdjP,148,148,1.0000,1.0000,1.0000
NP,174,174,1.0000,1.0000,1.0000
PP,46,46,1.0000,1.0000,1.0000
S,80,80,1.0000,1.0000,1.0000
VP,94,94,1.0000,1.0000,1.0000
OVERALL,542,542,,1.0000,
