n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8939,0.8950,0.8928,0.5800,1.0000,0.0000,1.0000,30
50,0.8855,0.8855,0.8855,0.5200,1.0000,0.1333,1.0000,30
75,0.8758,0.8758,0.8758,0.5400,1.0000,0.2667,1.0000,30
100,0.7329,0.7338,0.7320,0.2400,1.0000,0.3667,1.0000,30
125,0.8136,0.8136,0.8136,0.4800,1.0000,0.5333,1.0000,30
150,0.8202,0.8207,0.8197,0.3600,1.0000,0.6333,1.0000,30
175,0.7009,0.7026,0.6991,0.0800,1.0000,0.6000,1.0000,30
200,0.8332,0.8358,0.8307,0.3500,1.0000,0.5667,1.0000,30
225,0.8912,0.8945,0.8879,0.5700,0.9667,0.6333,1.0000,30
250,0.8369,0.8395,0.8343,0.4000,1.0000,0.6000,1.0000,30
275,0.8626,0.8652,0.8599,0.4200,0.9333,0.8000,1.0000,30
300,0.8090,0.8105,0.8076,0.3200,0.9667,0.5333,1.0000,30
325,0.7066,0.7092,0.7040,0.2200,1.0000,0.6000,1.0000,30
350,0.7144,0.7174,0.7113,0.1900,0.9333,0.5667,1.0000,30
375,0.8235,0.8260,0.8210,0.4400,0.9667,0.6000,1.0000,30
400,0.8181,0.8227,0.8136,0.3900,1.0000,0.5667,1.0000,30
