class,n_gold,tp,precision,recall,f1
NP,74,74,1.0000,1.0000,1.0000
S,40,40,1.0000,1.0000,1.0000
VP,34,34,1.0000,1.0000,1.0000
OVERALL,148,148,,1.0000,
