n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8104,0.8407,0.7822,0.5000,1.0000,0.1000,1.0000,30
50,0.7696,0.7819,0.7577,0.2700,1.0000,0.1667,1.0000,30
75,0.7902,0.7943,0.7861,0.3600,1.0000,0.1333,1.0000,30
100,0.9393,0.9417,0.9369,0.7300,0.9667,0.5000,1.0000,30
125,0.8792,0.8861,0.8724,0.6500,1.0000,0.3000,1.0000,30
150,0.7565,0.7645,0.7487,0.3600,1.0000,0.3667,1.0000,30
175,0.7539,0.7618,0.7461,0.3900,1.0000,0.4000,1.0000,30
200,0.8492,0.8570,0.8415,0.5000,1.0000,0.2333,1.0000,30
225,0.8814,0.8918,0.8711,0.5900,0.9667,0.3333,1.0000,30
250,0.9234,0.9306,0.9162,0.6400,1.0000,0.2667,1.0000,30
275,0.8740,0.8809,0.8673,0.5000,1.0000,0.7333,1.0000,30
300,0.8605,0.8790,0.8428,0.5000,1.0000,0.6000,1.0000,30
325,0.7944,0.8241,0.7668,0.3200,1.0000,0.5667,1.0000,30
350,0.8179,0.8479,0.7899,0.4200,1.0000,0.5667,1.0000,30
375,0.8594,0.8852,0.8351,0.5100,0.9667,0.6333,1.0000,30
400,0.8275,0.8425,0.8131,0.4600,0.9667,0.7333,1.0000,30
