n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,20,0.5000
20,0.7239,0.7239,0.7239,0.3800,0.8000,0.4000,1.0000,0.2000,1.0000,20,0.7500
30,0.8072,0.8072,0.8072,0.5200,0.9000,0.4000,1.0000,0.3000,1.0000,20,0.8333
40,0.8170,0.8170,0.8170,0.5700,0.7500,0.3500,1.0000,0.1000,1.0000,20,0.8750
50,0.8154,0.8154,0.8154,0.5300,0.8500,0.2500,1.0000,0.1000,1.0000,20,0.9000
60,0.8415,0.8415,0.8415,0.6000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9167
70,0.8497,0.8497,0.8497,0.6200,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9286
80,0.8546,0.8546,0.8546,0.6700,0.8000,0.5500,1.0000,0.3500,1.0000,20,0.9375
90,0.8529,0.8529,0.8529,0.6300,0.8000,0.5000,1.0000,0.3000,1.0000,20,0.9444
100,0.8676,0.8676,0.8676,0.6800,0.9000,0.2500,1.0000,0.1500,1.0000,20,0.9500
110,0.8725,0.8725,0.8725,0.7300,0.8000,0.3500,1.0000,0.1500,1.0000,20,0.9545
120,0.8497,0.8497,0.8497,0.6500,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9583
130,0.8660,0.8660,0.8660,0.7000,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9615
140,0.8971,0.8971,0.8971,0.7500,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9643
150,0.8905,0.8905,0.8905,0.7400,0.8500,0.4000,1.0000,0.2500,1.0000,20,0.9667
160,0.9101,0.9101,0.9101,0.7900,0.9000,0.1000,1.0000,0.0000,1.0000,20,0.9688
170,0.9036,0.9036,0.9036,0.7400,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9706
180,0.9020,0.9020,0.9020,0.7400,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.9722
190,0.8987,0.8987,0.8987,0.6800,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9737
200,0.9232,0.9232,0.9232,0.7400,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9750
210,0.9232,0.9232,0.9232,0.7400,0.8500,0.4000,1.0000,0.2500,1.0000,20,0.9762
220,0.9232,0.9232,0.9232,0.7500,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9773
230,0.9101,0.9101,0.9101,0.7300,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9783
240,0.9118,0.9118,0.9118,0.7400,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9792
250,0.9069,0.9069,0.9069,0.7400,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9800
260,0.9069,0.9069,0.9069,0.7500,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9808
270,0.9101,0.9101,0.9101,0.7700,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9815
280,0.9167,0.9167,0.9167,0.8000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9821
290,0.9281,0.9281,0.9281,0.8000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9828
300,0.9248,0.9248,0.9248,0.8000,0.9780,0.2800,1.0000,0.2580,1.0000,500,0.9833
