n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.0000,0.0000,0.0000,0.0000,1.0000,0.3400,1.0000,0.3400,0.0000,50,0.8000
20,0.0000,0.0000,0.0000,0.0000,1.0000,0.2400,1.0000,0.2400,0.0000,50,0.9000
30,0.6197,0.6197,0.6197,0.2750,1.0000,0.1200,1.0000,0.1200,0.8400,50,0.9333
40,0.6901,0.6901,0.6901,0.2500,0.9600,0.2000,1.0000,0.1600,0.7800,50,0.9500
50,0.7676,0.7676,0.7676,0.4000,0.9600,0.2200,1.0000,0.1800,0.7000,50,0.9600
60,0.7077,0.7077,0.7077,0.1250,0.9200,0.7000,1.0000,0.6200,0.7200,50,0.9667
70,0.7394,0.7394,0.7394,0.2250,0.9000,0.7800,1.0000,0.6800,0.7400,50,0.9714
80,0.7359,0.7359,0.7359,0.1750,0.7800,0.5800,1.0000,0.3600,0.8200,50,0.9750
90,0.7535,0.7535,0.7535,0.2500,0.8600,0.8200,1.0000,0.6800,0.8000,50,0.9778
100,0.8556,0.8556,0.8556,0.4250,0.8600,0.7000,1.0000,0.5600,0.8600,50,0.9800
110,0.8380,0.8380,0.8380,0.4250,0.8400,0.8000,1.0000,0.6400,0.7600,50,0.9818
120,0.7887,0.7887,0.7887,0.2750,0.9400,0.9200,1.0000,0.8600,0.7800,50,0.9833
130,0.8592,0.8592,0.8592,0.5000,0.9600,0.6800,1.0000,0.6400,0.8400,50,0.9846
140,0.7958,0.7958,0.7958,0.2750,0.8800,0.7000,1.0000,0.5800,0.8200,50,0.9857
150,0.8310,0.8310,0.8310,0.4750,0.8800,0.6000,1.0000,0.4800,0.7600,50,0.9867
160,0.8556,0.8556,0.8556,0.5000,0.8800,0.7800,1.0000,0.6600,0.8400,50,0.9875
