n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.6632,0.6632,0.6632,0.2000,1.0000,0.0000,1.0000,0.0000,1.0000,20,0.6000
20,0.7238,0.7238,0.7238,0.2500,0.9500,0.0500,1.0000,0.0000,1.0000,20,0.8000
30,0.7814,0.7814,0.7814,0.3900,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.8667
40,0.8301,0.8301,0.8301,0.4600,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.9000
50,0.8774,0.8774,0.8774,0.6100,0.8500,0.3000,1.0000,0.1500,1.0000,20,0.9200
60,0.8730,0.8730,0.8730,0.5800,0.9500,0.1500,1.0000,0.1000,1.0000,20,0.9333
70,0.8612,0.8612,0.8612,0.5800,0.9500,0.2000,1.0000,0.1500,1.0000,20,0.9429
80,0.8715,0.8715,0.8715,0.5900,0.9500,0.1000,1.0000,0.0500,1.0000,20,0.9500
90,0.8744,0.8744,0.8744,0.6400,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9556
100,0.8833,0.8833,0.8833,0.5400,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9600
110,0.9247,0.9247,0.9247,0.7700,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9636
120,0.9321,0.9321,0.9321,0.7900,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9667
130,0.9335,0.9335,0.9335,0.7600,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9692
140,0.9380,0.9380,0.9380,0.7900,1.0000,0.1000,1.0000,0.1000,1.0000,20,0.9714
150,0.9439,0.9439,0.9439,0.8100,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9733
160,0.9424,0.9424,0.9424,0.8200,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9750
170,0.9453,0.9453,0.9453,0.8300,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9765
180,0.9350,0.9350,0.9350,0.8000,1.0000,0.2000,1.0000,0.2000,1.0000,20,0.9778
190,0.9291,0.9291,0.9291,0.8000,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9789
200,0.9306,0.9306,0.9306,0.8100,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9800
210,0.9394,0.9394,0.9394,0.8200,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9810
220,0.9631,0.9631,0.9631,0.8900,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9818
230,0.9734,0.9734,0.9734,0.9200,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9826
240,0.9764,0.9764,0.9764,0.9300,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9833
250,0.9616,0.9616,0.9616,0.8900,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9840
260,0.9365,0.9365,0.9365,0.8100,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9846
270,0.9675,0.9675,0.9675,0.9100,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9852
280,0.9513,0.9513,0.9513,0.8400,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9857
290,0.9527,0.9527,0.9527,0.8500,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9862
300,0.9631,0.9631,0.9631,0.8900,1.0000,0.4380,1.0000,0.4380,1.0000,500,0.9867
