is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
1,-52.458718886979085,-55.19619250457481,-63.410647200920074,-49.94617581456947,-68.01617714445538,0,0,1
0,-55.45774224641678,-59.66127127904324,-94.862522257214,-62.70913843910162,-80.45076302078125,0,0,1
0,-54.35736538927095,-60.1074980423746,-106.44779509638134,-70.57853630021245,-82.82596801538564,0,1,0
0,-57.56583129724452,-63.08391771129132,-98.15361543707007,-58.39227065447079,-83.54618002556582,0,1,0
1,-56.2334987625775,-60.34205708267476,-64.9978989012724,-47.62900651020102,-75.73286843295922,0,0,0
0,-64.42698672622004,-67.31421080571852,-113.00352015240756,-77.01172159416346,-98.32804277194231,0,0,0
1,-58.290413406076354,-61.22532691984622,-72.81942772862173,-43.775914711187085,-76.67050582186316,0,0,1
0,-54.35736538927095,-60.1074980423746,-106.44779509638134,-70.57853630021245,-82.82596801538564,0,1,0
0,-57.56583129724452,-63.08391771129132,-98.15361543707007,-58.39227065447079,-83.54618002556582,0,1,0
1,-56.2334987625775,-60.34205708267476,-64.9978989012724,-47.62900651020102,-75.73286843295922,0,0,0
0,-64.42698672622004,-67.31421080571852,-113.00352015240756,-77.01172159416346,-98.32804277194231,0,0,0
1,-58.290413406076354,-61.22532691984622,-72.81942772862173,-43.775914711187085,-76.67050582186316,0,0,1
0,-54.35736538927095,-60.1074980423746,-106.44779509638134,-70.57853630021245,-82.82596801538564,0,1,0
0,-57.55056039630609,-62.023882738772315,-80.4231473808789,-52.90108226255731,-81.67750461056976,0,0,0
1,-63.7050537092041,-66.26413589853712,-57.74087779899091,-61.50220521799172,-77.56158114610166,0,0,1
1,-58.290413406076354,-61.22532691984622,-72.81942772862173,-43.775914711187085,-76.67050582186316,0,0,1
0,-54.35736538927095,-60.1074980423746,-106.44779509638134,-70.60872389459368,-82.82596801538564,0,1,0
1,-59.609569612919366,-62.53341582462135,-64.10374438523101,-54.314718386293656,-75.37495702568894,0,1,0
1,-58.290413406076354,-61.22532691984622,-72.81942772862173,-43.775914711187085,-76.67050582186316,0,0,1
0,-54.14479148670169,-56.92628294830611,-90.1230385042114,-55.363404670744494,-77.71596713516539,0,1,0
1,-54.74103749760724,-54.74103749760724,-44.98172062084802,-38.85466685171368,-68.23555368386164,0,0,0
1,-49.377090470898814,-52.06029006770522,-48.530437406754785,-50.490161232366944,-60.47048579012552,0,1,0
0,-54.03498810220699,-58.1279589476505,-80.42314738087892,-48.318210323223596,-78.16193231647065,0,0,0
0,-52.653165305534245,-58.353983759065,-108.05715301361712,-69.4167897138063,-85.07031120961938,0,0,0
0,-53.842142707451316,-59.630182816378266,-116.57716536203446,-59.546198634869945,-85.34955641326194,0,1,0
0,-52.0425634223928,-57.019844830189555,-87.84462941838673,-58.22843510695573,-78.39595224790882,0,0,0
1,-56.82991559528159,-61.3516435186638,-101.14656328590594,-47.38532467652031,-87.17388458105337,0,0,0
0,-73.42231205775846,-76.35744102570987,-111.04740866337517,-67.26147289254499,-106.736534656771,0,0,0
1,-59.08123374502674,-61.90558907161366,-36.47242320852264,-45.111708353271325,-63.091488901984086,0,1,1
0,-52.653165305534245,-58.353983759065,-108.05715301361712,-69.4167897138063,-85.07031120961938,0,0,0
0,-53.842142707451316,-59.630182816378266,-116.57716536203446,-59.546198634869945,-85.34955641326194,0,1,0
0,-52.0425634223928,-57.019844830189555,-87.84462941838673,-52.17663047633359,-78.39595224790882,0,0,0
1,-56.82991559528159,-61.3516435186638,-101.14656328590594,-47.38532467652031,-87.17388458105337,0,0,0
0,-73.42231205775846,-76.35744102570987,-111.04740866337517,-67.26147289254499,-106.736534656771,0,0,0
1,-59.08123374502674,-61.90558907161366,-36.47242320852264,-45.111708353271325,-63.091488901984086,0,1,1
0,-52.653165305534245,-58.353983759065,-108.05715301361712,-69.4167897138063,-85.07031120961938,0,0,0
0,-53.842142707451316,-59.630182816378266,-116.57716536203446,-59.546198634869945,-85.34955641326194,0,1,0
1,-52.21101660381725,-56.17645774158442,-71.21270698864281,-56.728810417260384,-73.5748287004101,0,0,0
0,-65.01328436181038,-67.99744146460087,-92.62652787890293,-64.20124887278597,-89.33550682268154,0,0,1
1,-59.08123374502674,-61.90558907161366,-36.47242320852264,-45.111708353271325,-63.091488901984086,0,1,1
0,-52.653165305534245,-58.353983759065,-108.05715301361712,-69.4167897138063,-85.07031120961938,0,0,0
0,-53.01475241120821,-57.39916189094404,-76.16445078254091,-51.339432172922734,-72.39835174317075,0,1,0
1,-66.71967549424228,-69.14754581141774,-73.31418477746709,-62.2215136223789,-85.24819502468269,0,0,1
1,-59.08123374502674,-61.90558907161366,-36.47242320852264,-45.111708353271325,-63.091488901984086,0,1,1
0,-52.653165305534245,-58.353983759065,-108.05715301361712,-69.4167897138063,-85.07031120961938,0,0,0
1,-58.18168930840436,-61.028527967548484,-55.78476630995849,-57.45580529938492,-71.45138329859218,0,1,0
1,-59.08123374502674,-61.90558907161366,-36.47242320852264,-45.111708353271325,-63.091488901984086,0,1,1
0,-57.371840591160534,-60.049512658836555,-98.86354526075054,-56.46897078853317,-87.03090416938569,0,0,0
1,-57.113298321978974,-57.113298321978974,-54.192161013084146,-39.772536127985354,-73.37094662590422,0,0,0
0,-53.38800004956241,-56.49627675167482,-91.73506556193934,-66.05464263052379,-80.9085197181442,0,0,0
1,-49.7351810791657,-53.78920621370635,-38.43122689663285,-40.25093687145723,-54.3330773425561,0,0,3
0,-53.36598820949961,-58.59020847864745,-118.33224257792202,-72.87513260863828,-85.3999250800765,0,1,0
0,-58.04647933735082,-63.58634319582281,-94.44366119885899,-80.95491355583339,-86.37957769700851,0,0,0
0,-51.49612244987891,-57.34908334949427,-123.48235150447283,-76.06561867425158,-88.54082790122075,0,0,0
0,-56.578700740544306,-61.07604569030046,-66.95401039030483,-58.554928788429685,-73.19916795483603,0,1,0
1,-59.89904362387802,-62.81560381626025,-64.10374438523101,-53.31678701507096,-79.13016693944732,0,0,0
0,-51.359965608707554,-54.209082765511596,-81.83152798539231,-51.762675015745735,-75.90942400432525,0,0,0
1,-49.69215417601849,-53.68168624436899,-75.06590515609366,-47.15896212333407,-72.21192572284659,0,0,0
0,-58.04647933735082,-63.58634319582281,-94.44366119885899,-80.95491355583339,-86.37957769700851,0,0,0
0,-51.49612244987891,-57.34908334949427,-123.48235150447283,-76.06561867425158,-88.54082790122075,0,0,0
0,-56.578700740544306,-61.07604569030046,-66.95401039030483,-58.554928788429685,-73.19916795483603,0,1,0
1,-59.89904362387802,-62.81560381626025,-64.10374438523101,-53.31678701507096,-79.13016693944732,0,0,0
1,-53.10429249826373,-55.88891658887761,-45.682863600758765,-55.42339828099233,-66.80915157849137,0,0,0
0,-53.019162938494254,-56.93298517272318,-50.19653966184238,-41.69751395435891,-64.61238893424725,0,0,1
0,-51.49612244987891,-57.34908334949427,-123.48235150447283,-103.36266908550915,-88.54082790122075,0,0,0
0,-56.578700740544306,-61.07604569030046,-66.95401039030483,-50.96362496548945,-73.19916795483603,0,1,0
1,-59.89904362387802,-62.81560381626025,-64.10374438523101,-53.31678701507096,-79.13016693944732,0,0,0
1,-54.48753763916472,-57.19645189565703,-44.98976641644785,-42.33901031891909,-67.98446756409908,0,0,0
0,-51.49612244987891,-57.34908334949427,-123.48235150447283,-76.06561867425158,-88.54082790122075,0,0,0
0,-56.578700740544306,-61.07604569030046,-66.95401039030483,-58.554928788429685,-73.19916795483603,0,1,0
1,-59.89904362387802,-62.81560381626025,-64.10374438523101,-53.31678701507096,-79.13016693944732,0,0,0
1,-54.48753763916472,-57.19645189565703,-44.98976641644785,-42.33901031891909,-67.98446756409908,0,0,0
0,-51.49612244987891,-57.34908334949427,-123.48235150447283,-76.06561867425158,-88.54082790122075,0,0,0
1,-57.63873786179865,-60.58660668079057,-36.47242320852264,-40.429588245459506,-65.11472892155572,0,1,0
1,-54.48753763916472,-57.19645189565703,-44.98976641644785,-42.33901031891909,-67.98446756409908,0,0,0
0,-54.8105789217869,-58.116954633202155,-84.27365334925199,-57.39589058257206,-80.0926749265625,0,0,0
