class,n_gold,tp,precision,recall,f1
AdjP,174,174,1.0000,1.0000,1.0000
NP,170,170,1.0000,1.0000,1.0000
PP,39,39,1.0000,1.0000,1.0000
S,80,79,1.0000,0.9875,0.9937
VP,90,90,0.9890,1.0000,0.9945
OVERALL,553,552,,0.9982,
