class,n_gold,tp,precision,recall,f1
AdjP,79,79,1.0000,1.0000,1.0000
NP,71,71,1.0000,1.0000,1.0000
PP,7,7,1.0000,1.0000,1.0000
S,40,39,0.9750,0.9750,0.9750
VP,31,30,0.9677,0.9677,0.9677
OVERALL,228,226,,0.9912,
