n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.6201,0.6201,0.6201,0.3200,1.0000,0.3667,1.0000,30
50,0.8954,0.8966,0.8942,0.5500,1.0000,0.3333,1.0000,30
75,0.8820,0.8820,0.8820,0.5500,1.0000,0.3000,1.0000,30
100,0.5777,0.5800,0.5753,0.2400,1.0000,0.1667,1.0000,30
125,0.7424,0.7439,0.7408,0.3600,1.0000,0.6667,1.0000,30
150,0.8428,0.8456,0.8399,0.3800,1.0000,0.6000,1.0000,30
175,0.7981,0.7997,0.7965,0.4100,0.9667,0.7333,1.0000,30
200,0.7166,0.7560,0.6811,0.3000,0.9667,0.8667,1.0000,30
225,0.7229,0.7504,0.6974,0.3300,0.9333,0.8000,1.0000,30
250,0.5402,0.5672,0.5156,0.1200,1.0000,0.7667,1.0000,30
275,0.7969,0.8393,0.7585,0.4000,1.0000,0.6333,1.0000,30
300,0.7464,0.7906,0.7069,0.3800,0.9667,0.6333,1.0000,30
325,0.7438,0.7846,0.7069,0.3400,1.0000,0.5667,1.0000,30
350,0.7201,0.7621,0.6825,0.3600,0.9667,0.8333,1.0000,30
375,0.7865,0.8364,0.7422,0.4200,1.0000,0.8000,1.0000,30
400,0.7337,0.7790,0.6934,0.3400,0.9000,0.7000,1.0000,30
