n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.7036,0.7036,0.7036,0.2500,0.7000,0.3000,1.0000,0.0000,1.0000,20,0.6000
20,0.8503,0.8503,0.8503,0.4250,0.7000,0.4000,1.0000,0.1000,1.0000,20,0.8000
30,0.8713,0.8713,0.8713,0.5000,0.6500,0.4500,1.0000,0.1000,1.0000,20,0.8667
40,0.8623,0.8623,0.8623,0.5000,0.7000,0.4000,1.0000,0.1000,1.0000,20,0.9000
50,0.8623,0.8623,0.8623,0.4750,0.8500,0.1500,1.0000,0.0000,1.0000,20,0.9200
60,0.9251,0.9251,0.9251,0.6750,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9333
70,0.9102,0.9102,0.9102,0.6000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9429
80,0.9311,0.9311,0.9311,0.7000,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9500
90,0.9671,0.9671,0.9671,0.8500,1.0000,0.4500,1.0000,0.4500,1.0000,20,0.9556
100,0.9521,0.9521,0.9521,0.8000,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9600
110,0.8443,0.8443,0.8443,0.5250,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9636
120,0.8533,0.8533,0.8533,0.4500,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9667
130,0.8533,0.8533,0.8533,0.4500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.9692
140,0.8892,0.8892,0.8892,0.5500,0.9500,0.6500,1.0000,0.6000,1.0000,20,0.9714
150,0.8683,0.8683,0.8683,0.5000,0.8500,0.6000,1.0000,0.4500,1.0000,20,0.9733
160,0.8593,0.8593,0.8593,0.5250,0.9500,0.4000,1.0000,0.3500,1.0000,20,0.9750
170,0.8772,0.8772,0.8772,0.5500,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9765
180,0.8982,0.8982,0.8982,0.6500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9778
190,0.9042,0.9042,0.9042,0.6500,0.9000,0.6000,1.0000,0.5000,1.0000,20,0.9789
200,0.8054,0.8054,0.8054,0.2750,0.9000,0.5500,1.0000,0.4500,1.0000,20,0.9800
210,0.8952,0.8952,0.8952,0.6250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9810
220,0.9192,0.9192,0.9192,0.7000,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9818
230,0.9431,0.9431,0.9431,0.7750,0.9000,0.4500,1.0000,0.3500,1.0000,20,0.9826
240,0.9371,0.9371,0.9371,0.7250,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9833
250,0.9521,0.9521,0.9521,0.8000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9840
260,0.9401,0.9401,0.9401,0.7750,0.9500,0.2500,1.0000,0.2000,1.0000,20,0.9846
270,0.9521,0.9521,0.9521,0.8250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9852
280,0.9521,0.9521,0.9521,0.8250,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9857
290,0.9521,0.9521,0.9521,0.8250,0.9500,0.3500,1.0000,0.3000,1.0000,20,0.9862
300,0.9341,0.9341,0.9341,0.7750,0.9500,0.6000,1.0000,0.5500,1.0000,20,0.9867
310,0.9461,0.9461,0.9461,0.7750,1.0000,0.5000,1.0000,0.5000,1.0000,20,0.9871
320,0.9461,0.9461,0.9461,0.7750,0.9740,0.4360,1.0000,0.4100,1.0000,500,0.9875
