n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
10,0.4440,0.5838,0.3583,0.0000,1.0000,0.4333,1.0000,30
20,0.6182,0.6753,0.5701,0.1250,1.0000,0.1333,1.0000,30
30,0.9533,0.9533,0.9533,0.7750,0.8667,0.4000,1.0000,30
40,0.8903,0.8959,0.8847,0.7250,0.9333,0.2333,1.0000,30
50,0.9057,0.9143,0.8972,0.7750,0.9333,0.2667,1.0000,30
60,0.7757,0.7757,0.7757,0.3500,0.9667,0.2667,1.0000,30
70,0.8906,0.8934,0.8879,0.6250,0.9667,0.4333,1.0000,30
80,0.9375,0.9404,0.9346,0.7750,0.9667,0.2333,1.0000,30
90,0.8063,0.8088,0.8037,0.5000,1.0000,0.2333,1.0000,30
100,0.9000,0.9028,0.8972,0.6750,0.9333,0.3000,1.0000,30
110,0.8196,0.8328,0.8069,0.5250,0.9667,0.3000,1.0000,30
120,0.7539,0.7539,0.7539,0.2500,1.0000,0.2000,1.0000,30
130,0.8529,0.8969,0.8131,0.6250,0.9667,0.4667,1.0000,30
140,0.8817,0.9189,0.8474,0.6250,1.0000,0.3667,1.0000,30
150,0.8795,0.9215,0.8411,0.6000,1.0000,0.4000,1.0000,30
160,0.7690,0.8175,0.7259,0.4000,0.9667,0.5667,1.0000,30
