n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_gram_novel,p_parse_legal,gen_n,prim_active_frac
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000
10,0.5683,0.5683,0.5683,0.0250,0.9000,0.1000,1.0000,0.0000,1.0000,20,0.5000
20,0.7111,0.7111,0.7111,0.2750,0.9500,0.0500,1.0000,0.0000,1.0000,20,0.7500
30,0.6825,0.6825,0.6825,0.2750,0.9000,0.2000,1.0000,0.1000,1.0000,20,0.8333
40,0.7175,0.7175,0.7175,0.2500,1.0000,0.1500,1.0000,0.1500,1.0000,20,0.8750
50,0.7333,0.7333,0.7333,0.4000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9000
60,0.7556,0.7556,0.7556,0.4500,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9167
70,0.7365,0.7365,0.7365,0.4000,0.8000,0.4500,1.0000,0.2500,1.0000,20,0.9286
80,0.8095,0.8095,0.8095,0.5000,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9375
90,0.7429,0.7429,0.7429,0.3750,0.8500,0.3500,1.0000,0.2000,1.0000,20,0.9444
100,0.8095,0.8095,0.8095,0.5250,0.8000,0.6500,1.0000,0.4500,1.0000,20,0.9500
110,0.8032,0.8032,0.8032,0.5000,0.8000,0.6000,1.0000,0.4000,1.0000,20,0.9545
120,0.7841,0.7841,0.7841,0.4750,0.9000,0.3500,1.0000,0.2500,1.0000,20,0.9583
130,0.8190,0.8190,0.8190,0.5500,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9615
140,0.7460,0.7460,0.7460,0.3250,0.8500,0.4000,1.0000,0.2500,1.0000,20,0.9643
150,0.8571,0.8571,0.8571,0.5250,0.9000,0.3000,1.0000,0.2000,1.0000,20,0.9667
160,0.8476,0.8476,0.8476,0.5250,0.8000,0.4000,1.0000,0.2000,1.0000,20,0.9688
170,0.8540,0.8540,0.8540,0.5500,0.9000,0.5000,1.0000,0.4000,1.0000,20,0.9706
180,0.8571,0.8571,0.8571,0.4500,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9722
190,0.8889,0.8889,0.8889,0.5500,0.9500,0.3000,1.0000,0.2500,1.0000,20,0.9737
200,0.8825,0.8825,0.8825,0.5250,1.0000,0.4000,1.0000,0.4000,1.0000,20,0.9750
210,0.9238,0.9238,0.9238,0.6500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9762
220,0.9238,0.9238,0.9238,0.6250,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9773
230,0.9175,0.9175,0.9175,0.6250,0.8500,0.3500,1.0000,0.2000,1.0000,20,0.9783
240,0.9111,0.9111,0.9111,0.5750,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9792
250,0.8889,0.8889,0.8889,0.6000,0.9500,0.5000,1.0000,0.4500,1.0000,20,0.9800
260,0.9111,0.9111,0.9111,0.6000,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9808
270,0.9048,0.9048,0.9048,0.5750,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9815
280,0.8889,0.8889,0.8889,0.5250,1.0000,0.3000,1.0000,0.3000,1.0000,20,0.9821
290,0.8730,0.8730,0.8730,0.5000,1.0000,0.3500,1.0000,0.3500,1.0000,20,0.9828
300,0.8825,0.8825,0.8825,0.5000,0.9500,0.5500,1.0000,0.5000,1.0000,20,0.9833
310,0.8698,0.8698,0.8698,0.4500,1.0000,0.2500,1.0000,0.2500,1.0000,20,0.9839
320,0.8762,0.8762,0.8762,0.4750,0.9500,0.4320,1.0000,0.3820,1.0000,500,0.9844
