class,n_gold,tp,precision,recall,f1
AdjP,158,158,1.0000,1.0000,1.0000
NP,167,167,0.9882,1.0000,0.9940
PP,40,40,0.9756,1.0000,0.9877
S,80,80,1.0000,1.0000,1.0000
VP,124,121,1.0000,0.9758,0.9878
OVERALL,569,566,,0.9947,
