class,n_gold,tp,precision,recall,f1
NP,71,71,1.0000,1.0000,1.0000
S,40,40,1.0000,1.0000,1.0000
VP,31,31,1.0000,1.0000,1.0000
OVERALL,142,142,,1.0000,
