class,n_gold,tp,precision,recall,f1
AdjP,84,84,1.0000,1.0000,1.0000
NP,74,74,1.0000,1.0000,1.0000
PP,7,7,1.0000,1.0000,1.0000
S,40,38,0.9048,0.9500,0.9268
VP,34,30,0.9375,0.8824,0.9091
OVERALL,239,233,,0.9749,
