n_trained,parse_F1,parse_P,parse_R,parse_EM,gen_gram,gen_novel,gen_lex,gen_n
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
25,0.8807,0.8854,0.8760,0.5900,1.0000,0.1000,1.0000,30
50,0.8057,0.8272,0.7853,0.4500,1.0000,0.1667,1.0000,30
75,0.6063,0.6198,0.5933,0.3300,1.0000,0.2000,1.0000,30
100,0.5645,0.5882,0.5427,0.1700,1.0000,0.0333,1.0000,30
125,0.5744,0.6068,0.5453,0.3100,1.0000,0.2000,1.0000,30
150,0.6278,0.6551,0.6027,0.3800,1.0000,0.1667,1.0000,30
175,0.6410,0.6760,0.6093,0.2900,1.0000,0.1000,1.0000,30
200,0.6844,0.7202,0.6520,0.4000,1.0000,0.1333,1.0000,30
225,0.7413,0.7747,0.7107,0.4200,1.0000,0.2667,1.0000,30
250,0.6100,0.6775,0.5547,0.2600,1.0000,0.3000,1.0000,30
275,0.6550,0.7249,0.5973,0.2800,1.0000,0.4333,1.0000,30
300,0.6686,0.7550,0.6000,0.3200,1.0000,0.4000,1.0000,30
325,0.6461,0.7422,0.5720,0.3000,1.0000,0.4333,1.0000,30
350,0.6006,0.6807,0.5373,0.2700,1.0000,0.5667,1.0000,30
375,0.5230,0.5883,0.4707,0.2000,1.0000,0.5333,1.0000,30
400,0.6334,0.7036,0.5760,0.2900,1.0000,0.3667,1.0000,30
