seed,F1,EM,step_pick
13,0.8168,0.6500,0.9167
17,0.9622,0.8250,0.9958
23,0.8714,0.6500,0.9633
42,0.8865,0.6500,0.9871
100,0.7387,0.4500,0.9254
MEAN,0.8551,0.6450,0.9577
STD,0.0745,0.1187,0.0319
