class,n_gold,tp,precision,recall,f1
AdjP,84,84,1.0000,1.0000,1.0000
NP,74,74,1.0000,1.0000,1.0000
PP,7,7,1.0000,1.0000,1.0000
S,40,40,1.0000,1.0000,1.0000
VP,34,34,1.0000,1.0000,1.0000
OVERALL,239,239,,1.0000,
