class,n_gold,tp,precision,recall,f1
NP,70,70,1.0000,1.0000,1.0000
S,40,37,1.0000,0.9250,0.9610
VP,30,30,0.9091,1.0000,0.9524
OVERALL,140,137,,0.9786,
